300547, 川环科技, 8.80
688200, 华峰测控, 432.00
002995, 天地在线, 44.99
605183, 确成股份, 16.08
300736, 百邦科技, 7.49
688179, 阿拉丁, 72.00
002285, 世联行, 4.77
300778, 新城市, 23.95
002499, *ST科林, 7.99
300454, 深信服, 283.06
003020, 立方制药, 32.07
601798, 蓝科高新, 5.04
002884, 凌霄泵业, 26.58
003001, 中岩大地, 28.70
002802, 洪汇新材, 20.21
300852, 四会富仕, 84.44
300766, 每日互动, 16.34
300798, 锦鸡股份, 9.44
605198, 德利股份, 20.73
688268, 华特气体, 65.44
300548, 博创科技, 38.49
603721, 中广天择, 11.07
603739, 蔚蓝生物, 24.46
603949, 雪龙集团, 14.08
688202, 美迪西, 226.45
300626, 华瑞股份, 7.87
300767, 震安科技, 97.08
600731, 湖南海利, 9.05
300586, 美联新材, 7.89
002556, 辉隆股份, 8.36
603818, 曲美家居, 8.13
300591, 万里马, 5.58
300350, 华鹏飞, 4.19
002596, 海南瑞泽, 5.13
002595, 豪迈科技, 31.98
300172, 中电环保, 5.37
603728, 鸣志电器, 16.36
603108, 润达医疗, 11.94
002856, 美芝股份, 11.94
000908, 景峰医药, 3.98
300859, 西域旅游, 15.93
002348, 高乐股份, 1.88
300788, 中信出版, 40.19
600818, 中路股份, 7.29
603683, 晶华新材, 12.70
002520, 日发精机, 5.88
300864, 南大环境, 91.29
688579, 山大地纬, 12.95
300796, 贝斯美, 17.45
300616, 尚品宅配, 84.66
002656, ST摩登, 1.18
300179, 四方达, 5.44
688557, 兰剑智能, 38.11
002649, 博彦科技, 8.78
000029, 深深房Ａ, 7.84
605388, 均瑶健康, 19.74
300185, 通裕重工, 3.33
300507, 苏奥传感, 9.76
000004, 国华网安, 18.63
000516, 国际医学, 10.75
300713, 英可瑞, 17.68
002115, 三维通信, 5.74
688488, 艾迪药业, 21.05
688098, 申联生物, 14.85
600615, 丰华股份, 5.51
603712, 七一二, 39.08
688386, 泛亚微透, 54.21
300656, 民德电子, 25.20
002625, 光启技术, 27.61
